model,removed_mean,removed_std,removed_mae,error_mean,error_std,error_mae,residual_corr_to_input_minus_target,edge_leakage_corr
CTformer,-0.1800805628299713,9.840559005737305,4.349028587341309,0.07474532723426819,9.156399726867676,4.149343967437744,0.7259403933186624,0.25058888526575085
CTRestormer,-0.05511586368083954,11.386286735534668,5.208138942718506,-0.05021936446428299,9.248383522033691,4.163578987121582,0.7300492746304684,0.369944938313936
RED-CNN,-0.5989044904708862,11.780012130737305,5.396655082702637,0.4935692846775055,9.230899810791016,4.18233060836792,0.7357637460068794,0.36826525142513017
